番名,标签,总播放,追番人数,弹幕总数,开播时间,话数,声优,简介
苍蓝钢铁的琶音,科幻+智斗,494.8万,17.9万,17万,2013年10月开播,已完结， 全12话,渕上舞、興津和幸、松本忍、宮下栄治、津田美波、東山奈央、山村響、内山夕実、野上由加奈,在21世纪初，人类因全球暖化的影响而失去了大半的陆地。此时，在世界各地突然出现了搭载着神秘超兵器被称为“雾之舰队”的战舰群，对其毫无招架之力的人类失去了制海权，并且再也无法自由航行于大海之上。17年后，千早群像与其同伴们在不知觉中搭上了潜艇伊401，并与伊401的心智范本伊欧娜一起挑起了与雾之舰队间的战火...自2009年9月开始于《YOUNG KING OURs》上连载。是以近未来的日本、潜艇为舞台的青年向SF海洋战记漫画作品，作者Ark Performance。动画化决定，监督岸诚二，制作公司SANZIGEN，TV正式标题为苍き钢のアルペジオ ーアルス・ノヴァー。
Re：从零开始休息时间,轻改,1950.6万,17.9万,11.1万,2016年4月开播,已完结， 全25话,小林裕介、高橋李依、内山夕実、赤﨑千夏、水瀬いのり、村川梨衣、子安武人,《Re：从零开始的异世界生活》是由作家“长月达平”所撰写的热门奇幻轻小说，其改编电视动画从4月3日开始正式于日本展开播映。官方于昨日宣布在AT-X播映结束之后，将额外播映短篇迷你动画《Re：从零开始的休息时间》，内容将以Q版角色为主题，并会在日后以限时方式公开在官方网站之上。
传说中勇者的传说,热血+奇幻+战斗,219.7万,17.9万,9万,2010年7月开播,已完结， 全24话,福山潤、小野大輔、高垣彩陽、櫻井孝宏、杉田智和、諏訪部順一、伊丸岡篤、藤田..,镜贵也所著的《传说中的勇者的传说》TV动画版正式确定在7月开播，这部以架空大陆为背景的奇幻冒险作品，描写了主人公莱纳·龙特等人被卷入战争的传奇经历。在一个流传着众多传说的世界，居住在罗兰德帝国的人民因为腐败的贵族暴政而困苦不堪。名叫莱纳的青年是个超级没干劲到让人火大的人，他最期待的就是可以在大白天悠闲地睡懒觉。然而有一天，莱纳与好友西昂等人被卷入了无可避免的战祸之中，他们的命运也走向了奇妙的方向……莱纳的“眼”中，映出的究竟是怎样的未来呢？
青之文学,治愈+致郁,105.7万,17.9万,2.9万,2009年10月开播,已完结， 全12话,堺雅人、堺雅人、桑島法子、小山力也、水樹奈々、朴璐美、津田匠子,2009年是日本文学名将太宰治诞辰100周年，在这一年中，包括小林多喜二创作的《螃工船》在内，众多的日本文学名作被制作成电影。嗅觉敏感的集英社乘着这股追赶文学大潮的东风，及时发售了由旗下超人气漫画家重新绘制封面的文学名作，博得了极大好评。这些作品分别是由《死亡笔记》作者小畑健重新绘制封面的太宰治原作的《人间失格》；由《死神》作者久保带人重新绘制封面的坂口安吾原作的《盛开的樱花林下》；由《网球王子》作者许斐刚重新绘制封面的太宰治原作的《快跑！梅乐斯》，以及由小畑健重新绘制封面的夏目漱石原作的《心》，由久保带人重新绘制封面的芥川龙之介原作的《蜘蛛之丝》和《地狱变》。
腹黑妹妹控兄记,后宫+日常,210.1万,17.9万,10.4万,2011年1月开播,已完结， 全13话,豊永利行、喜多村英梨、立花慎之介、荻原秀樹、大原さやか、白石涼子、中村繪里子、井上麻里奈、荒浪和沙,  故事的男主角高梨修辅是一位喜欢收藏工口书、工口DVD、工口图片、同时又非常     喜欢学校泳装、过膝袜、条纹内裤的“非常健全”的男孩子。他有一个比他小一岁的可爱妹妹高梨奈绪，妹妹非常喜欢哥哥，因此一直会有意无意地把内裤故意走光、或是隐隐约约给他看到。不过，两人的感情进展并非一帆风顺，10年不见的青梅竹马土浦彩叶突然回到了高梨兄妹的面前并且诱惑着修辅，还用望远镜偷窥修辅的房间。就这样，修辅与奈绪、彩叶之间的三角关系每天都继续进行着。与此同时修辅班上的班长、非常喜欢BL的少女近藤茧佳也加入来搅合，一部欢乐无极限的故事正式开演。
悠久之翼,校园+催泪+恋爱,95万,17.8万,5.2万,2007年10月开播,已完结， 全12话,泰勇気、田口宏子、下野紘、中島裕美子、柳瀬夏美、岡田純子、後藤麻衣、高城元気、青木沙耶香,《ef - a fairy tale of the two.》是minori游戏公司所发行的第五部作品。本作主要讲述了在两个“音羽”小镇上几对男女互相纠葛的故事。游戏主要分为两部发售，前篇《the first tale.》于2006年12月22日发售，后篇《the latter tale.》则于2008年5月30日发售。此外本作是少见的多主角群像剧，采用了第三人称视角并且几乎没有影响剧情走向的选项，算是经典的“视觉小说”风格。至于TV动画则是由当时第一次担任监督的大沼心执导分成两季分别在2007年10月和2008年10月放送。虽然TV改编褒贬不一，不过总体还是认为和原作各有亮点和风格。而最后于2010年9月17日推出的FanDisc《天使的星期日》算是为本作品画上了句号。
红伤骑士X,科幻+声控+乙女,183.3万,17.7万,4.4万,2016年7月开播,已完结， 全12话,清水彩香、铃木达央、宫野真守、近藤隆、下野纮、高桥广树、KENN,与现实略有不同的地球。地球正遭受来自“红之世界”的侵略者【Nightfly O'Note】的威胁。人类为了与之对抗，而设立了对相位外防卫机关【LAG】，并组成对Nightfly O'Note战斗单位【Scared Rider】，即使在过去的五次战斗中重蹈全灭的覆辙，依然继续战斗着。不久之后，一名少女麻黄明以教官兼指挥官的身份前往LAG赴任，刚一到任，停止的Nightfly O'Note侵袭再度开始了。第六战斗单位【Scared Rider Xechs】的成员们，为了与明一同守护世界，而投身于战场。这是她与少年们的爱与友情与战斗的物语。
活撃/刀剣乱舞（僅限港澳台地區）,,41.6万,17.7万,2.3万,2017年7月开播,已完结， 全13话,木村良平、濱健人、榎木淳弥、山下誠一郎、櫻井トオル、斉藤壮馬、永塚拓馬、皆川純子,文久三年。世间二分为倒幕派与幕府派，刀的时代被宣告结束的时代来临——幕末。作为刀剑男士刚刚显现的堀川国广，与过去在同一个主人的手下共同战斗的和泉守兼定在落雨的山道中疾驰着。刀剑男士是寄宿于刀上的念想通过审神者的激发之下、显现于世的『付丧神』。他们的使命是去打倒来自未来企图改变历史的『时间溯行军』，为了守护那“正确的历史”。迎来了新伙伴陆奥守吉行、药研藤四郎、蜻蛉切与鹤丸国永的堀川国广、和泉守兼定两刃，在这动乱的时代之中，投身于与时间溯行军的战役。挥动着的刀刃上所倒映出的是光、抑或是影？刀剑男士，出阵。
咎狗之血,致郁+奇幻+基腐,120.9万,17.6万,7.4万,2010年10月开播,已完结， 全12话,鳥海浩輔、山崎巧、一条和矢、杉田智和、福山潤、荻原秀樹、谷山紀章、小西克幸、,“The 3rd Division”结束后经过了5年，日本国土分裂为东西两国，东边由“CFC”统治，西边由“日兴连”统治。原首都东京变成无法治地带，其中因战争而荒废的都市丰岛被犯罪组织“VISKIO”占领了，并在那里举行一场名为“IGURA”的死亡格斗游戏。故事的主角明，因不存在于自身记忆中的杀人行为而被逮捕，作为无罪释放的条件而被迫参加这场死亡格斗游戏，并且还要击败犯罪组织“VISKIO”之王。明又将如何面对接踵而来的命运呢，血色物语即将开幕……
K MISSING KINGS,奇幻+基腐+战斗+声控,253.4万,17.5万,7.3万,2014年7月开播,已完结， 全2话,浪川大辅、小野大辅、小松未可子、杉田智和、堀江由衣、兴津和幸、森田成一、下野纮、津田健次郎,《K MISSING KINGS》是电视动画《K》的剧场版动画，2014年7月12日于日本上映。主要讲述了赤之氏族“吠舞罗”的族人栉名安娜，经历绿之氏族“jungle”发动的御柱塔袭击之后，作为新的“赤之王”而觉醒，与吠舞罗的同伴们再度结下强固羁绊的故事。
凉宫春日的忧郁 2006版,日常+奇幻+搞笑+科幻+时泪,127.5万,17.5万,5.1万,2006年4月开播,已完结， 全14话,杉田智和、後藤邑子、茅原実里、小野大輔、平野綾、あおきさやか、桑谷夏子、松元恵,　　“我毕业于东中，叫做凉宫春日。我对普通的人类没有兴趣。你们之中要是有外星人、未来人、异世界人或者超能力者的话，就尽管来找我吧。”这是凉宫春日的宣言，也是她对于平庸生活的挑战。　　我们可能在很小时就不再相信圣诞老人的存在，也慢慢不会再对外星人，特异功能等等产生幻想。在生活的教化下习惯于平淡无奇的生活。可是不安于现状的凉宫同学却勇敢的建立起SOS团，用强烈的意志去试图改造这个了无新意的世界。她的忧郁，究竟从何而来，又将从何而去。
食梦者,日常+热血,304.4万,17.5万,18.9万,2010年10月开播,已完结， 全25话,日野聡、阿部敦、矢作紗友里、早見沙織、野島裕史、川田紳司、堀内賢雄、浜田賢二、森田成一,【本片翻译由华盟字幕社提供】故事场景设置在埼玉县谷草市。抱着“无趣的未来，活着真麻烦”这样无所谓的心情生活着的中学生真城最高一天突然收到同班的学年尖子生高木秋人发出的邀请“和我搭档一起成为漫画家吧！”。很久以前秋人就梦想着能成为一名漫画家，有着好文采的自己和擅长绘画的最高组合的话，一定能实现梦想，秋人热切的劝说着最高。然后最高却连考虑都没有考虑就拒绝了。国小六年级时，最高目睹了当专职漫画家的叔父的死亡，从那天开始，最高就放弃了成为漫画家的梦想。然而这天晚上，接到秋人电话来到爱慕的美少女亚豆美保家里的时候，秋人听到以及看到了不得了的“告白”和“回应”，受到刺激的最高忍不住对亚豆说到，“如果我们两人的漫画被制作成动画的话，请和我结婚！”为了实现和亚豆的约定，最高决定和秋人一起迈向通往漫画家的道路。对漫画一无所知的两人，把自己创作的漫画拿到编辑部去希望可以成功连载，尽情挥洒热情的两人把青春赌在了漫画上。两人透过责任编辑服部哲的协助以“亚城木梦叶”为笔名出道连载，并且视畅销漫画家“天才高中生”新妻英二为竞争对手，彼此互相砥砺切磋琢磨的故事
神不在的星期天,,141.2万,17.5万,5.6万,2013年7月开播,已完结， 全13话,豊崎愛生、内山昂輝、浪川大輔、能登麻美子、藤原啓治、丸山詠二、渡辺明乃、野島裕史、佐藤利奈,"十五年前,神明大人将世界整个舍弃.没有人出生,也没有人死亡.在绝望遍布的世界中能给予死者唯一慰藉的存在是&quot;墓守&quot;.爱是一位墓守.今天也整整挖了47个坟墓.晚上回到村子与温柔的村民们围在一起嬉戏.但是那一天有什么不对.银色的头发,红玉般的双瞳.令人叹息的美貌,名为食人玩具的少年……那一天,爱,与他两人命运般的相遇.&quot;我是一名墓守人.我,绝对不会让这个世界毁灭!&quot; 于是,保护最后的世界的少女与仍旧猎杀死者的少年.在这终焉的世界之中,小小的奇迹发生了.一群反抗神的人类以死亡的世界作为舞台而展开的战斗序曲,这个世界既不是人类生存的世界也不是死者安息的世界,为了守护这个被神都抛弃的世界,12岁的守墓少女在这个世界中活跃着...《神不在的星期天（神さまのいない日曜日）》是日本小说家入江君人原作、茨乃负责插画、富士见Fantasia文库发行的轻小说作品。该做曾获得第21届Fantasia大赏（连续三年没有颁发过大奖）。"
