番名,标签,总播放,追番人数,弹幕总数,开播时间,话数,声优,简介
Fate/Zero 第一季,热血+奇幻+时泪+战斗+声控,2746.1万,125.5万,168.5万,2011年10月开播,已完结， 全13话,小山力也、川澄绫子、大原沙耶香、恒松步、中田让治、阿部彬名、速水奖、关智一、山崎功、..,作为「Fate/stay night」的前传，「Fate/Zero」的故事舞台设定在第五次圣杯战争的10年前，即第四次圣杯战争；而在「Fate/stay night」中充满神秘感的卫宫切嗣则会成为「Fate/Zero」的主角。在虚渊玄优秀的创作能力之下，「Fate/Zero」无论在剧情还是在生动流畅的战斗场面等方面都显得非常优秀。本片于2011年7月开播，分两季播出。动画制作将继续沿用自「空之境界」系列剧场版便开始合作的ufotable，监督则由在AIC及ufotable两间制作公司中 均有活跃表现的あおきえい担任。另外，在武内崇的人物原案之下，人设将交由须藤友德及碇谷敦负责。
罪恶王冠,热血+奇幻+战斗+原创,1798万,125.3万,115万,2011年10月开播,已完结， 全22话,津田美波、梶裕貴、渡辺明乃、中村悠一、茅野愛衣、茅野愛衣、内山昂輝、嶋村侑、花澤香菜,处于无政府状态的日本，受到了由超国家之间所组织成的名为“GHQ”的组织的武力介入并接受其统治，东京的六本木更成为被封锁的地区。之后又以名为“lost christmas（失落的圣诞）”的事件为契机，日本失去了独立国家的实质权力，并被赋予了表面上的自治权，由此人们开始享受短暂的和平。时光流逝，10年后的2039年。少年樱满集——怀抱着抑郁的心境，并对世间冷眼相待——在天王州第一高校就读的高中二年生，与同学们保持着一定距离的同时，度过着闲散而又平静的日子。然而集安稳的日常在某一天突然宣告结束。那天放学后，在自己中意的老地方和一名少女不期而遇。少女名为楪祈。她正是集所憧憬，并在网上有着巨大影响力的歌手。而她也有不为人知的一面。祈正是由17岁青少年恙神涯所率领的“葬仪社”——一个在被封锁的城市中歌颂着从”GHQ“手中得到”日本的解放“而赌上性命不断孤独地战斗着的抵抗组织——的成员之一。集在祈与涯引导之下，与葬仪社而发生了关联。尔后因为关系紧迫获被女主使用了虚空基因组，他的右手上出现了“王之刻印”。通过刻印，集可以自在地从人的身体里抽取出名为“void（虚空）”的物质，并以借此为武器..
少女终末旅行,百合+奇幻+漫改,1180.9万,124.2万,19.6万,2017年10月开播,连载中， 每周五 22:00更新,水濑祈、久保由利香,本作舞台在人类繁华的文明迎来终结的很久以后，人类基本灭绝，甚至生物都不再存在的末日世界。复杂够高的都市成为迷宫般的废墟，得不到维护的机械渐渐停止运转。连何时终结了，何时开始终结的思考都不复存在的这个世界，2名少女继续着她们的旅行。千户与尤莉今天也坐着爱车Kettenkrad（履带式摩托车）在废墟中彷徨。生存在末日世界的反乌托邦幻想作品，现在拉开帷幕。
独占我的英雄,基腐+漫改,1805.2万,124.1万,130.6万,2017年7月开播,已完结， 全12话,前野智昭、増田俊樹、立花慎之介、松岡禎丞、羽多野渉、近藤孝行、安達勇人、山下大輝、山下誠一郎,因为失去，所以追求。“归宿”和“羁绊”是最重要的。我讨厌英雄。因为在自己的眼前并没有出现过。不良少年正广与有着“熊杀”之称的康介相遇了。渴望着能有哭泣的“归宿”的正广。有着温柔而又坚实臂膀的康介。在温暖中映射出了耀眼的感情。一直在一起的约定被打破，因此健介和支仓绝交了。但是，支仓却无法忘记健介。支仓想要再一次看到健介的笑容。彼此的内心互相交错，形成了“羁绊”。
食戟之灵,热血+美食,8918.2万,123.3万,263.2万,2015年4月开播,已完结， 全24话,松冈祯丞、种田梨沙、高桥未奈美、石上静香、田村睦心、诹访部顺一、花江夏树、小野友树、樱井孝宏、茅..,本作以名门料理学校“远月学园”为舞台，描绘了家里经营餐馆的幸平创真，以超越父亲城一郎为激励而日复一日地磨练自己的厨艺的故事。在初中毕业后考虑继承家业的他，却突然听闻父亲要关店数年并前往海外的消息。而后，创真在城一郎的命令下进入“远月学园”高中部就读，一部围绕着小镇上定食屋主人儿子的料理美食类故事由此开始。
月色真美,校园+恋爱+原创,1720.2万,121.9万,87.3万,2017年4月开播,已完结， 全12话,千葉翔也、小原好美、田丸篤志、村川梨衣、白石晴香、筆村栄心、金子誠、石見舞菜香、鈴木美園,茜与小太郎。初三时第一次被分到同班，相识的两人。同班同学、社团伙伴、教师、父母……与周围的关联，自己的成长。在那个一边被变化与不安追着，一边慌慌张张地向前飞奔的季节之中，稚嫩而又令人眩目的青春期之恋。
夏目友人帐,日常+治愈+奇幻+催泪+神魔,1421.4万,121.2万,56.6万,2008年7月开播,已完结， 全13话,神谷浩史、井上和彦、小林沙苗、堀江一真、大浦冬华、石田彰、伊藤容次、泽城美雪、木村良平,夏目贵志生来拥有强大的灵力，能感知平常人所无法接触的妖怪神明的存在。因父母双亡，他多年间辗转于互相推卸责任的亲戚之间，又受到同龄人的欺负，未曾与任何人深交，造成性格一定程度上的孤僻。夏目本性和善，对于自己经历的不幸，无论人类还是妖怪都未曾怨恨过，后被善良的藤原夫妇收养。一次被妖怪追赶时，夏目打破了一只强大妖怪“斑”的封印，继而牵涉到自己祖母的遗物“友人帐”——一本记录着众多妖怪名字的契约书。对友人帐产生兴趣的“斑”与夏目定下约定，自己作为保镖保护其一生，以交换友人帐的所有权，平日则化身成招财猫模样的“猫咪老师”。在猫咪老师的陪伴以及小镇周遭和谐氛围的关怀下，夏目贵志经历过一个个奇异、悲伤、怀念、令人感动的怪诞故事，逐渐学会与人类和妖怪友好相处，谱写出一段段充满人性哲理的温馨物语。
命运石之门,致郁+科幻+催泪+游戏改,1494.1万,117.5万,80.2万,2011年4月开播,已完结， 全25话,宫野真守、花泽香菜、今井麻美、关智一、田村ゆかり、小林优、后藤沙绪里、桃井はるこ、山本彩乃,本作的故事发生在「Chaos;head」中的“涩谷崩坏”一年半后的世界，而舞台则从涩谷转移到了秋叶原。主角冈部伦太郎是一位深度中二病的大学生，时常幻想自己身肩重任，并自称“狂气的疯狂科学家·凤凰院凶真”。说到底，他的所作所为不过就是在“未来道具研究所”中与两个伙伴开发各种奇奇怪怪又不切实际的东西。然而，这样的他们却在偶然间发明出了可以把电子讯息传送到过去的时间机器。他们对未来及过去的信息有了越来越多的了解，却不知危难正渐渐降临到自己身上……
骑士&魔法,奇幻+机战+轻改+魔法,2486.9万,116.3万,47.9万,2017年7月开播,已完结， 全13话,高橋李依、菅原慎介、大橋彩香、内匠靖明、興津和幸、ヘルヴィ・オーバ..,能干的程序员，同时是重度机器人宅的青年，转生到了巨大机器人“幻晶骑士（Silhouette Knight）”震动大地的骑士与魔法的异世界！？以艾尔涅斯帝·埃切贝里亚的身份转生的他，活用丰富的机械知识以及身为程序员的才能，开始制造理想的机器人。但，他的行动演变成了超出预期的事态……！？ 机器人宅的野望，将改变异世界！！
野良神 ARAGOTO,奇幻+战斗+漫改+神魔,5261.4万,115.9万,118.5万,2015年10月开播,已完结， 全13话,神谷浩史、内田真礼、梶裕贵、钉宫理惠、泽城美雪、福山润、丰崎爱生、小野大辅、大川透、早见沙织、今井麻美、..,在此岸与彼岸的交界处，八百万神明和服侍他们的死灵——神器，以及被称为妖的魑魅魍魉一同生活着。某天，普通的女初中生一岐日和意外遇到了居无定所、没有工作、自称是“神”的青年夜斗。其实此话不假，夜斗是个没有神社供奉、缺少香火的落魄神明，因为性格缺陷，导致手下的神器纷纷跳槽。怀抱“受万民景仰”这个伟大愿望的他，只好只身在此岸与彼岸间徘徊，为五元（日语中“五元”与“有缘”同音）的香油钱折腰，接受上至斩妖除魔，下至修东修西的各类委托。然而像这样一个粗心大意、性情不定，而且不能很好地听人祈愿、没有人知道的神明却有一个能力，那就是将此岸与彼岸以及其夹缝——世上各种杂七杂八的东西斩断。
